ano;sigla;orgao;tipo_de_instrumento;numero;entidade_aderente_carona;data_de_publicacao;link_da_ata
2022;PMMG;Polícia Militar do Estado de Minas Gerais;Ata de Registro de Preços;028/2021;1A. Brigada de Infantaria de Selva/RR;2022-05-24;https://compras.mg.gov.br/wp-content/uploads/divulgacao-de-carona-capacetes-3-divulgacao-de-carona-capacete-e9bc8613d466.pdf
2022;PMMG;Polícia Militar do Estado de Minas Gerais;Ata de Registro de Preços;012/2021;25º Batalhão de Caçadores / Comando do Exército;2022-11-04;https://compras.mg.gov.br/wp-content/uploads/pmmg-04-11-2022.pdf
2023;UNIMONTES;Universidade Estadual de Montes Claros;Ata de Registro de Preços;006/2022;35º Batalhão de Infantaria –;2023-08-22;https://compras.mg.gov.br/wp-content/uploads/35o-batalhao-de-infantaria-006-2022.pdf
2023;PMMG;Polícia Militar do Estado de Minas Gerais;Ata de Registro de Preços;015/2022;55º Batalhão de Infantaria;2023-12-28;https://compras.mg.gov.br/wp-content/uploads/batalhao-pmmg-28-12-2023-.pdf
2024;PMMG;Polícia Militar do Estado de Minas Gerais;Ata de Registro de Preços;010/2023;Administração Geral/UFMG;2024-03-29;https://compras.mg.gov.br/wp-content/uploads/PMMG-29-03-2024.pdf
2023;PMMG;Polícia Militar do Estado de Minas Gerais;Ata de Registro de Preços;009/2023;Administração Geral/UFMG;2023-12-29;https://compras.mg.gov.br/wp-content/uploads/itencao-de-adesao-79631647.pdf
2024;PCMG;Polícia Civil do Estado de Minas Gerais;Ata de Registro de Preços;058/2024;Agência de Modernização da Gestão de Processos – AMGESP/AL;2024-05-20;https://compras.mg.gov.br/wp-content/uploads/PCMG-OF.-35-20-05-2024.pdf
2024;PCMG;Polícia Civil do Estado de Minas Gerais;Ata de Registro de Preços;058/2024;Agência de Modernização da Gestão de Processos – AMGESP/AL;2024-05-20;https://compras.mg.gov.br/wp-content/uploads/PCMG-OF.-34-20-05-2024.pdf
2023;UEMG;Universidade do Estado de Minas Gerais;Ata de Registro de Preços;526/2023;Agência de Modernização da Gestão de Processos – AMGESP/AL;2023-12-21;https://compras.mg.gov.br/wp-content/uploads/3uemg-21-12-2023.pdf
2023;UEMG;Universidade do Estado de Minas Gerais;Ata de Registro de Preços;560/2023;Agência de Modernização da Gestão de Processos – AMGESP/AL;2023-12-21;https://compras.mg.gov.br/wp-content/uploads/2uemg-21-12-2023.pdf
2023;UEMG;Universidade do Estado de Minas Gerais;Ata de Registro de Preços;528/2023;Agência de Modernização da Gestão de Processos – AMGESP/AL;2023-12-21;https://compras.mg.gov.br/wp-content/uploads/uemg-21-12-2023.pdf
2024;PMMG;Polícia Militar do Estado de Minas Gerais;Ata de Registro de Preços;058/2024;Agência de Modernização da Gestão de Processos – AMGESP/AL;2024-09-06;https://compras.mg.gov.br/wp-content/uploads/SEI_1250.01.0008984_2024_64.pdf
2024;SEJUSP;Secretaria de Estado de Justiça e Segurança Pública de Minas Gerais;Ata de Registro de Preços;058/2024;Agência de Modernização da Gestão de Processos – AMGESP/AL;2024-02-26;https://compras.mg.gov.br/wp-content/uploads/SEJUSP-82413502-Oficio-15.pdf
2022;SEPLAG;Secretaria de Estado de Planejamento e Gestão de Minas Gerais;Ata de Registro de Preços;032/2021;Assembléia Legislativa do Estado de Goiás – ALEGO;2022-07-06;https://compras.mg.gov.br/wp-content/uploads/sei-1500.01.0074779-2022-65.pdf
2023;FHEMIG;Fundação Hospitlar do Estado de Minas Gerais;Ata de Registro de Preços;002/2023;Associação dos Municípios da Microrregião do Médio Sapucaí – AMESP;2023-12-22;https://compras.mg.gov.br/wp-content/uploads/fhemig-22-12-2023.pdf
2024;PMMG;Polícia Militar do Estado de Minas Gerais;Ata de Registro de Preços;001/2023;Ata de Registro de Preços nº 01/2023 –;2024-05-24;https://compras.mg.gov.br/wp-content/uploads/PMMG-04-06-2024.pdf
2024;PCMG;Polícia Civil do Estado de Minas Gerais;Ata de Registro de Preços;003/2022;Batalhaão Escola de Comunicações;2024-09-03;https://compras.mg.gov.br/wp-content/uploads/SEI_96092903_Oficio_144.pdf
